movie_title,release_year,certificate,time_num,time_unit,genre1,genre2,genre3,stars,score,description,director_name,cast1,cast2,cast3,cast4,votes
Christmas with a Prince: Becoming Royal,2019,TV-G,93,min,Romance,NA,NA,5.8,NA,Its Christmas again and Dr Tasha is on her way to meet Prince Alexander in St. Savarre. Though this is a happy time it is also a very stressful as a treaty is being negotiated between St. ...                See full summary »,Justin G. Dyck,Kaitlyn Leeb,Nick Hounslow,Josh Dean,Anastasia Marinina,549
Christmas at Graceland,2018,TV-G,85,min,Comedy,Drama,Family,5.7,NA,"A Chicago-based business executive travels to Memphis to secure one of the city's oldest family-owned banks. While in Memphis, Laurel reunites with an old flame Clay, a local music promoter with loftier aspirations.",Eric Close,Kellie Pickler,Wes Brown,Claire Elizabeth Green,Rhoda Griffis,1549
Dashing in December,2020,TV-14,88,min,Drama,NA,NA,6.2,NA,"When Wyatt Burwall finally returns home for the holidays in an effort to convince his mother Deb to sell the family's Colorado ranch, a romance unexpectedly ignites between Wyatt and their ...                See full summary »",Jake Helgren,Peter Porte,Juan Pablo Di Pace,Andie MacDowell,Caroline Harris,1281
A Very Vintage Christmas,2019,TV-G,87,min,Comedy,Drama,Romance,6.1,NA,An antique store owner (Tia Mowry-Hardrick) discovers a memory box of sentimental trinkets and attempts to find its rightful owner.,Paul A. Kaufman,Tia Mowry-Hardrict,Jesse Hutch,Patricia Richardson,Agam Darshi,579
Magical Christmas Ornaments,2017,TV-14,90,min,Drama,Fantasy,Romance,6.2,NA,"""After a bad breakup, former Christmas lover Marie (Lowndes) loses her Christmas spirit. Trying to restore it, her mother sends Marie Christmas ornaments from her childhood, and a ...                See full summary »",Don McBrearty,Jessica Lowndes,Brendan Penny,Farah Merani,Stephen Huszar,1689
Pups Alone,2021,PG,107,min,Comedy,Family,NA,3.6,NA,"While everyone is away on a company ski trip, Robert's neighbor hires two inept thieves to steal his latest invention. The neighborhood dogs will use Robert's inventions to set up a house of horrors for the thieves.",Alex Merkin,Jerry O'Connell,Jennifer Love Hewitt,Rob Schneider,Danny Trejo,1326
The Christmas Club,2019,TV-G,84,min,Comedy,Drama,Family,6.7,NA,"Two busy strangers meet when they help an elderly woman find her lost Christmas savings. Thanks to fate and Christmas magic, they also find something they were both missing: true love.",Jeff Beesley,Elizabeth Mitchell,Cameron Mathison,Zoe Fish,Jenny Pudavick,1330
Swept Up by Christmas,2019,TV-G,84,min,Comedy,Drama,Romance,6.2,NA,"An antique seller and a cleaner clash over how to downsize a magnificent estate right before Christmas. As the two uncover the house's treasures, they find a way to reconnect the reclusive owner with his own Christmases past.",Philippe Gagnon,Lindy Booth,Justin Bruening,Vlasta Vrana,Susan Bain,786
The Santa Stakeout,2021,TV-G,84,min,Comedy,Crime,Drama,6.4,NA,"Police detective Tanya is partnered with fellow detective Ryan to solve a recent string of heists. They go undercover as newlyweds, moving into the vacant house next to Mr. Miller, the prime suspect in the case.",Peter Benson,Tamera Mowry-Housley,Paul Campbell,Joe Pantoliano,Peter Bryant,1048
Broadcasting Christmas,2016,TV-G,84,min,Comedy,Drama,Family,6,NA,"Two news broadcasters who previously were in love fight for a position as a morning talk show host that they both want, ultimately finding what made them like each other so much in the first place.",Peter Sullivan,Melissa Joan Hart,Dean Cain,Cynthia Gibb,Jackée Harry,1812
A Christmas Solo,2017,TV-G,90,min,Comedy,Drama,Music,5.9,NA,"Two single parents stumble into the possibility of love for Christmas, not knowing that their daughters are embroiled in a nasty rivalry at school.",Christie Will Wolf,Kelli Williams,Jonathan Scarfe,Pippa Mackie,Kayla Wallace,813
The Christmas Bow,2020,TV-G,83,min,Drama,Music,Romance,6.7,NA,"When an accident puts her music dreams on hold, a gifted violinist reconnects with an old family friend who helps her heal and find love during the holidays.",Clare Niederpruem,Lucia Micarelli,Michael Rady,James Saito,Joy Perry,994
Cranberry Christmas,2020,NA,84,min,Drama,Romance,NA,6.5,NA,A separated couple feign marital bliss on national television to help their town's Christmas festival and their business. But what will the future hold for them when rekindled love is complicated by new opportunities.,Linda-Lisa Hayter,Nikki Deloach,Benjamin Ayres,Marci T. House,Erin Boyes,862
The Mistletoe Inn,2017,NA,90,min,Comedy,Drama,Romance,6.4,NA,An aspiring novelist signs up for a week-long writing workshop at the Mistletoe Inn.,Alex Wright,Alicia Witt,David Alpay,Lucie Guest,Casey Manderson,1760
Mistletoe & Menorahs,2019,TV-PG,85,min,Comedy,Drama,Romance,6.4,NA,"When a toy company executive must learn about Hanukkah to land a big account, she enlists the help of her co-worker's friend, who also happens to be in need of turning his pad into a Christmas Wonderland to impress his girlfriend's father.",Max McGuire,Kelley Jakle,Jake Epstein,Cory Lee,Jon McLaren,786
A Merry Christmas Match,2019,TV-G,82,min,Comedy,Drama,Romance,5.8,NA,"Corey who works in her mom's antique shop, puts on a Christmas pageant in honor of her late father. When a man named Ryder visits her store, she wonders if she should have left town to follow her dream of becoming a theater director.",Jake Helgren,Ashley Newbrough,Kyle Dean Massey,Lindsey Gort,John DeLuca,1217
Girlfriends of Christmas Past,2016,TV-PG,90,min,Comedy,Romance,NA,5.1,NA,This Christmas three women plot revenge on the guy who cruelly dumped them all. But will vengeance be worth risking a chance at new love?,Jake Helgren,Tammin Sursok,Brent Bailey,Lindsey McKeon,Abigail Klein,866
Christmas Love Letter,2019,TV-PG,86,min,Comedy,Drama,Mystery,6.1,NA,"When relationship advice columnist Amalie Hess receives an unsigned love letter in a Christmas card, she returns to her hometown to solve the mystery of who sent it and maybe find true love.",Damián Romay,Ashley Newbrough,Tilky Jones,Izzy Herbert,Ray Bengston,544
A Christmas Princess,2019,TV-PG,90,min,Comedy,Romance,NA,5.6,NA,"Jessica is a struggling chef living in a trendy New York borough. Prince Jack, who's in the city for his family's annual Christmas charity dinner, finds himself in need of a last-minute chef for a royal event when he meets Jessica.",Fred Olen Ray,Shein Mompremier,Travis Burns,Erin Gray,Andy Lauer,711
Christmas Break-In,2018,NA,87,min,Family,NA,NA,4.5,NA,"Izzy is an energetic 9-year-old girl. Overscheduled and running late, her parents can't pick her up on time on the last day of school before Christmas break. A blizzard complicates the ...                See full summary »",Michael Kampa,Danny Glover,Denise Richards,Cameron Seely,Sean O'Bryan,1605
Sound of Christmas,2016,TV-G,84,min,Drama,Family,Music,6.4,NA,A piano teacher falls for a widower who's responsible for the impending closure of her music school.,Harvey Crossland,Lindy Booth,Robin Dunne,Micah Kalisch,Kim Roberts,1079
The Christmas Dance,2021,NA,94,min,Drama,Family,Romance,4.7,NA,"Traumatized by her past, Christmas is not at the top of Sarah's list this time of year. However, waltzing through life's unexpected emergencies, she is taught the Christmas Dance.",Michael Arcell,Brady Amaya,Richard Karn,Katherine Kelly Lang,Noah Nelson,216
Christmas on Ice,2020,TV-PG,87,min,Romance,NA,NA,6.1,NA,A former figure skater and a former hockey player work together to void the mayor from closing the local skating rink.,John Stimpson,Abigail Klein,Ryan Cooper,Caroline Portu,Will Lyman,870
My Christmas Dream,2016,TV-G,82,min,Comedy,Romance,NA,6.2,NA,"An ambitious store manager of a renowned retail flagship store must enlist the help of a struggling, single-father handyman to help her realize her dream of managing the company's first international store.",James Head,Danica McKellar,David Haydn-Jones,Christine Lee,Deidre Hall,1986
Jingle Around the Clock,2018,TV-G,90,min,Comedy,Romance,NA,6.5,NA,"Elle's plans for Christmas reunion are thwarted by work. In order to get a career-altering promotion she's forced to team up with advertising campaign 'fixer' Max, who has a completely different take on the Holidays.",Paul Ziller,Brooke Nevin,Michael Cassidy,Jeremy Guilbaut,Andrea Brooks,1394
A Christmas for the Books,2018,NA,90,min,Drama,Romance,NA,5.2,NA,"During a prestigious holiday gala, which is an interview for her dream job, a lifestyle guru must prove that she is a romance expert.",Letia Clouston,Chelsea Kane,Drew Seeley,Chad Connell,Gary Brennan,928
A Date by Christmas Eve,2019,TV-PG,93,min,Comedy,Drama,Fantasy,5.8,NA,"After her brilliant idea for a new dating app is stolen by a workplace rival, Chelsea's fortunes take a turn for the better following a Christmas wish upon a shooting star.",Jake Helgren,Vanessa Lengies,Evan Williams,Katherine Bailess,Julie McNiven,526
Christmas Perfection,2018,TV-PG,90,min,Comedy,Drama,Fantasy,5.5,NA,"Darcy's been striving for the perfect Christmas since childhood and, thanks to a magical figurine, her dream finally comes true.",David Jackson,Caitlin Thompson,James Henri-Thomas,Robbie Silverman,Rachel-Mae Brady,878
My Dad's Christmas Date,2020,NA,91,min,Comedy,NA,NA,5.5,NA,A 16-year-old tries to play matchmaker for her widowed father during Christmastime.,Mick Davis,Jeremy Piven,Olivia-Mai Barrett,Hadar Cats,Joely Richardson,1773
A Royal Christmas Ball,2017,TV-PG,86,min,Drama,Romance,NA,4.6,NA,A bachelor king tries to reconnect with his old college sweetheart.,David DeCoteau,Tara Reid,Ingo Rademacher,Haley Pullos,Mira Furlan,909
Deliver by Christmas,2020,TV-G,84,min,Comedy,Romance,NA,6.7,NA,"Molly meets Josh, a widower who recently moved to town with his young son. At the same time she is charmed by a mysterious client of her bakery whom she's never met in person. In the end, he was the one and the same man.",Terry Ingram,Alvina August,Eion Bailey,Kesler Talbot,Nadeen Lightbody,1095
Entertaining Christmas,2018,TV-G,90,min,Comedy,Romance,NA,6.1,NA,Candace has never lived up to her mom's standards. She's sent in her place to plan a Christmas party.,Robin Dunne,Jodie Sweetin,Brendan Fehr,Jane Moffat,Ana Araujo,989
Rocky Mountain Christmas,2017,TV-G,90,min,Family,Fantasy,Romance,6.5,NA,"After her breakup with a famous tech entrepreneur makes national headlines, Sarah returns to her uncle's ranch to escape the spotlight where she crosses paths with a Hollywood actor who's looking to prepare for an upcoming role.",Tibor Takács,Kristoffer Polaha,Lindy Booth,Treat Williams,Chris McNally,1623
Red Snow,2021,NA,80,min,Comedy,Horror,Thriller,5.4,43,A struggling vampire romance novelist must defend herself against real-life vampires during Christmas in Lake Tahoe.,Sean Nichols Lynch,Dennice Cisneros,Nico Bellamy,Laura Kennon,Vernon Wells,1777
Christmas Cupcakes,2018,NA,88,min,Comedy,Drama,NA,5.8,NA,"With their family bakery facing foreclosure, two sisters must team-up to try and save it by entering a TV baking competition.",Dylan Pearce,Cindy Busby,Erin Karpluk,Corey Loranger,Fulvio Cecere,609
Wrapped Up in Christmas,2017,TV-PG,90,min,Comedy,Drama,Romance,6,NA,A mall manager is tasked with cancelling the leases of underperforming stores at Christmas. She soon discovers that she's falling for a store owner's nephew as he helps his aunt try to get through the holidays.,Peter Sullivan,Tatyana Ali,Brendan Fehr,Kim Fields,Cindy Pickett,799
Every Day Is Christmas,2018,TV-PG,85,min,Drama,Fantasy,Romance,5.9,NA,"Ruthless businesswoman Alexis is visited by her deceased mother in a reimagining of ""A Christmas Carol"".",David Weaver,Toni Braxton,Gloria Reuben,Michael Jai White,Andrew Airlie,485
Christmas Festival of Ice,2017,TV-G,84,min,Romance,NA,NA,5.9,NA,"Emma is determined to keep her hometown's Christmas ice-sculpting contest going. She enlists sponsors and artists, but Nick, the town's ace artisan, isn't interested in competing until he sees what Emma has accomplished.",Bradley Walsh,Taylor Cole,Damon Runyan,Wendy Crewson,Jonathan Whittaker,1162
Christmas on the Range,2019,TV-G,90,min,Romance,Western,NA,6.2,NA,Kendall's one holiday wish is to keep the family ranch solvent. Her rival's charming son offers help-and maybe more-but can he be trusted?,Gary Wheeler,Erin Cahill,Nicholas Gonzalez,A Martinez,Lindsay Wagner,519
Christmas in the Air,2017,TV-G,84,min,Comedy,Romance,NA,6.2,NA,"Struggling with his work-life balance, a widowed father-of-two enlists the help of a professional organizer for the holiday season.",Martin Wood,Catherine Bell,Eric Close,Ken Tremblett,Malcolm Stewart,1240
Cupid for Christmas,2021,PG,87,min,Comedy,Fantasy,Romance,5.5,NA,"Hoping to land a promotion and become the new Cupid, his hapless apprentice, Ruby, is tasked with finding the perfect match for their most hopeless case yet.",Blayne Weaver,Melanie Stone,Ryan Carnes,Natasha Behnam,Cocoa Brown,176
A Sugar & Spice Holiday,2020,TV-G,84,min,Comedy,Drama,Romance,6.4,NA,"A rising young architect, Suzy, returns to her hometown in Maine for Christmas and finds herself competing in the local gingerbread bake-off alongside an old high school classmate, Billy, while also trying to win a big promotion at work.",Jennifer Liao,Jacky Lai,Tony Giroux,Lillian Lim,Tzi Ma,472
Jingle Belle,2018,TV-PG,86,min,Drama,Music,Romance,5.9,NA,A successful jingle writer is cajoled into returning to her hometown to write a song for the 50th anniversary of the annual Christmas Eve concert.,Peter Sullivan,Tatyana Ali,Cornelius Smith Jr.,Loretta Devine,Keshia Knight Pulliam,530
Just Another Christmas,2020,NA,100,min,Comedy,Drama,NA,6.7,NA,"Stuck in a time loop where it's forever Christmas, a family man who hates the holiday starts to learn valuable lessons about what's important in life.",Roberto Santucci,Arianne Botelho,Kevin Andrew Rivera,Neto Cajado,Louise Cardoso,4599
The Trouble with Mistletoe,2017,NA,111,min,Comedy,Drama,Romance,6.2,NA,"When San Francisco pet shop owner Willa Davis encounters the man who stood her up in high school, she fights both her head and her heart when she starts falling for him all over again ten years later.",Ashley Avis,Rachel Melvin,Thomas Beaudoin,Alexandra Weaver,Annie Thurman,805
Last Vermont Christmas,2018,TV-G,76,min,Drama,Family,Romance,5.8,NA,The Marvin sisters gather for what may be their last Christmas at their childhood home.,David Jackson,Erin Cahill,Justin Bruening,Catherine Corcoran,Alan Pontes,1004
The Engagement Clause,2016,TV-PG,87,min,Comedy,Romance,NA,5.5,NA,A high-level executive must find herself a husband before Christmas in order to inherit a fortune.,Letia Clouston,Jes Macallan,Coby Ryan McLaughlin,April Bowlby,James Eckhouse,1222
Lost at Christmas,2020,NA,100,min,Comedy,Drama,Romance,5,NA,Two down-on-their-luck strangers come together to try and get home for Christmas.,Ryan Hendrick,Natalie Clark,Kenny Boyle,Sylvester McCoy,Clare Grogan,487
My Sweet Holiday,2020,NA,84,min,Drama,Romance,NA,5.4,NA,"Sadie returns home for Christmas after her boyfriend cancels their Holiday plans, only to find out her parents have sold the family business. Begrudgingly Sadie agrees to teach the new ...                See full summary »",Sandra L. Martin,Malone Thomas,Jason Burkey,Remi Hilson,George Cron,498
Christmas in Paris,2019,G,90,min,Drama,Romance,NA,5.3,NA,"Lucas, a wealthy French entrepreneur, heads to Montana for a very attractive business proposal. When there he meets Robin, falls in love, and whisks her away to Paris on a whirlwind ...                See full summary »",Justin G. Dyck,Rebecca Dalton,Karl E. Landler,Daphne Zuniga,Andrew Jackson,448
Christmas on the Vine,2020,TV-PG,87,min,Drama,Romance,NA,6.1,NA,A young marketing executive is assigned to help a struggling family-owned winery in a town that has lost its Christmas spirit due to a large wine conglomerate.,Paul A. Kaufman,Julianna Guill,Jon Cor,Meredith Baxter,Chilton Crane,528
12 Days of Giving,2017,TV-G,85,min,Comedy,Drama,Family,6,NA,"After winning a $50,000 prize, a man decides to pay things forward by buying Christmas gifts for strangers under the pseudonym, Lucky the Elf.",Christine Conradt,Ashley Jones,David Blue,Jax Connolly,Preston James Hillier,943
The Christmas Project,2016,TV-PG,92,min,Comedy,Family,NA,5.5,NA,"A writer looks back on his memorable 1986 Christmas, dealing with brothers, bullies, first love, pregnancy and family ""elving.""",Michael Buster,Jacob Buster,Anson Bagley,Josh Reid,Cooper Johnson,495
A Royal Christmas Engagement,2020,NA,86,min,Family,Romance,NA,4.8,NA,"Lauren, a hard-working advertising executive, begins to fall for Paul, a consultant she has been paired with to land a big account for the upcoming holiday season. Unbeknownst to Lauren and...                See full summary »",Fred Olen Ray,Paige Bach,James Nitti,Louie Chapman,Samantha Dawson,391
A Very Nutty Christmas,2018,TV-PG,90,min,Comedy,Fantasy,Romance,5.9,NA,"After getting dumped by her boyfriend, a bakery owner receives a special gift that turns her Christmas season around.",Colin Theys,Melissa Joan Hart,Barry Watson,Marissa Jaret Winokur,Rizwan Manji,1278
A Candy Cane Christmas,2020,TV-PG,91,min,Comedy,Drama,Romance,5.6,NA,"As Phoebe is searching for a new tradition to lift her holiday spirits, she realizes that it's not the traditions we cherish, but the people with whom we share them.",Adrian Langley,Beverley Mitchell,Mark Ghanimé,Derek Johns,Benedicte Belizaire,616
Sweet Mountain Christmas,2019,TV-G,88,min,Romance,NA,NA,6.3,NA,"As country-music star Laney Blu spends more time in her hometown, it becomes less and less like she remembered it.",David Weaver,Megan Hilty,Marcus Rosner,Teryl Rothery,Kate Craven,583
Christmas by Chance,2020,NA,97,min,Comedy,Romance,NA,6.1,NA,The owner of a struggling gift shop is hired by a famous entrepreneur to organize a romantic marriage proposal for his socialite girlfriend.,Andrew Cymek,Winny Clarke,Jacob Blair,Celine Tsai,Sharjil Rasool,270
Christmas at the Chateau,2019,TV-PG,98,min,Comedy,Drama,Romance,3.7,NA,"How will 3 sisters save the Shakespeare Chateau, historic mansion and beloved family home, from a corrupt bank that threatens to foreclose on Christmas Day?",Jason Hudson,Kinsey Leigh Redmond,Justen Jones,Jeffrey Staab,Sarah McGuire,256
A Doggone Christmas,2016,NA,82,min,Family,NA,NA,4.1,NA,"When the CIA discovers a cute orphan puppy with amazing telepathic abilities, the powers-that-be in Washington immediately lock him down and plan on forcing the poor dog to become a covert ...                See full summary »",Jim Wynorski,Jaret Sacrey,Zachary Cirino,Dominique Swain,Jesse the Jack Russell Terrier,204
Holiday Heist,2019,TV-PG,87,min,Crime,Drama,Romance,5.6,NA,A man released from prison is torn between a life of crime and a fresh start with a woman he meets while scoping out a potential heist,Roger M. Bobb,Chaley Rose,Tobias Truvillion,Phillip Edward Van Lear,Lucien Cambric,134
Puppy Star Christmas,2018,PG,91,min,Comedy,Family,Musical,3.7,NA,"A song-filled new Air Bud 'Pup Star' movie that introduces four new pups to the family, who stow away on Santa's sleigh and find themselves trapped at the North Pole, trying to save the world's Christmas spirit.",Robert Vince,Diedrich Bader,Oakley Bull,Tyreese Burnett,Chico,258
Christmas on Wheels,2020,TV-PG,86,min,Romance,NA,NA,5.8,NA,"Upon learning that her uncle sold her mom's vintage convertible, a car full of Christmas memories, Ashley enlists the help of her uncle's attorney Duncan to get it back.",Marita Grabiak,Tiya Sircar,Lara Amersey,Serena Arella,Jennifer Austin,409
Baby in a Manger,2019,G,80,min,Drama,Romance,NA,5.1,NA,"Christmas is about a miracle baby, but when CPS agent Alison and police officer Brock find a lost baby lying in a nativity scene, it'll take a miracle for them just to stop bickering. Can ...                See full summary »",Justin G. Dyck,Monica Rodriguez Knox,Michael Morrone,Caylin Turner,Gene Abella,233
Christmas Staycation,2020,NA,77,min,Comedy,NA,NA,5.5,NA,"When a family can't be together on Christmas, they bring their dysfunctional family Christmas online.",Jordan Imiola,Annie Abrams,Jon Harrison Taylor,Marisa Dzintars,Bill Kates,869
Snekker Andersen og Julenissen,2016,NA,70,min,Adventure,Comedy,Family,6.3,NA,Alf Prøysen's classic tale tells the story of the Christmas-loving carpenter struggling to make his three children believe in Santa Claus. He swaps places with him on Christmas Eve to create a Christmas like no other.,Terje Rangnes,Trond Espen Seim,Anders Baasmo,Ingeborg Raustøl,Johanna Mørck,742
Christmas on the Carousel,2021,NA,71,min,Comedy,Drama,Family,5.2,NA,Four lifelong friends convene over winter break for their last Christmas at home together.,Erik Bloomquist,Erik Bloomquist,Madeleine Dauer,Taylor Turner,Rachel Oremland,121
Forgotten Christmas,2019,NA,70,min,Drama,Family,Fantasy,6,NA,"The story of a tiny village like any other, except that these villagers tend to be so forgetful, over and over. This year they are forgetting that it's time for Christmas.",Andrea Eckerbom,Miriam Kolstad Strand,Trond Espen Seim,Anders Baasmo,Christian Skolmen,337
Nagykarácsony,2021,NA,110,min,Comedy,Romance,NA,6.7,NA,A firefighter develops a fear of heights and has strange visions after his wedding proposal goes up in smoke.Will a teacher he meets later cure his vertigo and mend his broken heart?,Dániel Tiszeker,András Ötvös,Emöke Zsigmond,Péter Scherer,Lia Pokorny,445
Christmas Belles,2019,TV-14,85,min,Comedy,NA,NA,6.3,NA,"Despite being successful in their careers, two 30-something BFFs never stop hearing that they both need a man before it's too late. When a handsome pastor arrives just in time to kick off ...                See full summary »",Terri J. Vaughn,Raven Goodwin,DomiNque Perry,Omar Gooding,Mark Taylor,132
Operation Christmas List,2016,TV-Y,88,min,Comedy,Family,NA,4.6,NA,Things don't go according to plan when a 12-year-old attempts to get his hands on a batch of the Christmas season's must-have toy.,Justin G. Dyck,Colton Gobbo,Kyle Peacock,Jacob Soley,Julia Pulo,90
A New Christmas,2019,NA,79,min,Drama,NA,NA,5.3,NA,"Kabir is a lonely medical student in New York, estranged from his wife and grieving the loss of his mother. When he meets Kioni, a charming film student from Kenya, she persuades him to ...                See full summary »",Daniel Tenenbaum,Prashantt Guptha,Grace Wacuka,Preeti Gupta,Carl Garrison,467
The Christmas Doodle,2021,NA,60,min,Family,NA,NA,4,NA,A Christmas story with a puppy.,Ashley Hays Wright,Ashley Hays Wright,David Owen Wright,Jaina Wright,Scout Wright,30
This Is Christmas,2017,NA,128,min,Drama,NA,NA,3.2,NA,"Christmas is approaching, and best friends Harry, Jordan, Ben, and Dennis are at their annual get-together before the holidays. As they share stories of their past year, it is clear they all still have a lot of growing to do.",Joseph Rassulo,A. Russell Andrews,Lynsey Bartilson,Scarlett Chorvat,Jsu Garcia,22
The Key to Christmas,2020,NA,80,min,Family,NA,NA,5.7,NA,"When a disgruntled elf takes over the North Pole, she turns time backwards and Santa Claus begins getting younger fast. It's up to a loyal elf, a little girl with a magic key, and the now-teenage Santa to save the future of Christmas.",Jason Mills,Scott Osborne,Camryn Macdonald,Sadie Silcock,Liam Tait,91
Delivering Christmas,2017,TV-PG,11,min,Short,Drama,NA,7,NA,"After a little girl tells her mailman her widowed mom's sad, he decides to bring them gifts to make it a special Christmas.",David DeCoteau,Jason-Shane Scott,Jessica Morris,CC King,Elaine Partnow,119
10 Horas para o Natal,2020,NA,90,min,Comedy,Family,NA,5.7,NA,Add a Plot,Cris D'Amato,Giulia Benite,Juliet Donenfeld,Terrence Little Gardenhigh,Arthur Kohl,117
A Trash Truck Christmas,2020,NA,28,min,Animation,Short,Adventure,5.6,NA,"When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone.",Eddie Rosas,Henry Keane,Glen Keane,Lucas Neff,Brian Baumgartner,220
Christmas at the Royal Hotel,2018,NA,108,min,Drama,History,War,4.3,NA,"In 1941, Hong Kong was the Casablanca of the East, a city full of war refugees, profiteers and spies. With the sudden attack by Japanese troops, a Canadian soldier's Christmas promise is broken during the Battle of Hong Kong.",Craig McCourry,Harry Oram,Lydia Lee Tang,Ashley Leung,Wil Cheung,45
The Christmas Ride,2020,NA,70,min,Drama,Family,NA,5.5,NA,"On Christmas Day, Georgia experiences the true ups and downs of the holiday season. Through empathy and active listening, she does her best to understand the situations surrounding her to help make the season brighter.",Stefanie Davis,Daryen Ratte,Dina Najjar,Austin Janowsky,Stephanie Ceballos,76
Christmas Coming Out,2021,Not Rated,17,min,Short,Comedy,Drama,6.5,NA,An action figure from a young gay man's Christmas Past comes to life to help him find the courage he needs to come out.,Art Arutyunyan,Ford Nelson,Tyler Horn,Arthur Marroquin,Katryn Schmidt,17
An Unremarkable Christmas,2020,TV-14,82,min,Comedy,Drama,NA,3.2,NA,"Before the events of S1, Juanquini, El Ñato and Captain González shared one Christmas wish: being courageous enough to change their lives. One mysterious character, El Dañado, could be the one who makes their dreams come true.",Juan Camilo Pinzon,Luis Eduardo Arango,Julián Cerati,Aura Cristina Geithner,Mariana Gómez,144
Christmas with Cookie,2016,NA,53,min,Comedy,Horror,Sci-Fi,4.7,NA,In the year 3978 global warming has made a desert of the North Pole. Santa and Mrs. Claus battle angry skeletons who didn't get what they wanted for Christmas. Evil aliens try to take over the world and a giant abominable snow man wants Santa for his next meal.,Alan Maxson,Shawn Schminke,Alan Maxson,Dana Austen,Justin Armao,70
Community Theater Christmas,2019,TV-14,103,min,Comedy,NA,NA,7.5,NA,"A community theater competes for a state grant that is needed to keep the doors of the theater open. Meanwhile, they race to get their first, original Christmas play up and running while everything falls apart.",Melissa Vitello,IsaBeall Quella,Veronica Wylie,Marissa Pistone,Dan Pena,52
Discarding Santa,2018,NA,85,min,Adventure,Comedy,Family,4.8,NA,"""In 2010, the city of Leitchfield, Kentucky decided to outlaw any and all references to Santa Claus for Christmas, in an attempt to de-commercialize the holiday. The events that happened ...                See full summary »",Bob Maze,Spencer Kingsley,Lewis Wright,Lare Roberts,Kathlene Ashcraft,41
re: View,2016,NA,37,min,Comedy,Talk-Show,NA,7.1,NA,Jay Bauman and Josh Davis take a look at Jay's Christmas tradition of a cult movie - surreal slasher Blood Beat (1983) shot in Wisconsin.,Jay Bauman,Josh Davis,Jay Bauman,Fabrice-Ange Zaphiratos,NA,18
